make,model,version,price,fuel,year,kms,shift,is_professional,dealer,province,publish_date,insert_date
33,154,1558,800,1,34,1244,1,1,787,25,4703,57
5,474,409,155,1,25,2082,1,0,418,13,557,24
5,472,386,629,1,33,1606,1,1,1974,29,3216,32
5,474,314,136,1,23,1973,1,0,381,44,757,33
13,210,753,560,1,36,1350,1,0,1928,29,535,48
39,42,2280,358,1,31,1465,0,0,396,2,100,10
48,446,2889,164,1,26,1717,2,1,1157,38,397,11
41,370,2523,278,1,34,1178,2,0,355,9,4911,59
8,112,623,278,5,33,1269,2,0,718,29,528,38
54,392,3034,326,1,30,1383,2,0,29,29,2656,48
33,161,1621,701,1,34,1651,1,1,1368,10,2674,34
39,14,2162,321,1,36,955,2,1,2061,20,4520,57
3,55,58,137,5,22,1633,2,0,501,35,946,43
15,39,791,363,5,37,546,2,1,2100,30,3725,38
5,468,329,315,1,33,1857,2,0,248,7,348,12
5,471,344,485,1,37,1273,2,1,1525,29,4160,54
16,243,904,189,1,35,1068,2,1,1704,31,2208,9
13,210,754,690,1,37,687,1,0,395,29,3968,53
3,57,115,252,1,28,1732,1,0,168,29,545,8
53,402,3000,550,6,36,972,1,1,2400,29,4851,57
33,169,1655,989,1,34,844,1,1,2188,7,2256,9
46,381,2831,594,1,40,15,2,1,2773,26,2690,26
5,471,346,552,1,35,1479,1,1,1145,45,2797,17
8,111,603,340,1,36,1236,2,1,2473,29,1641,0
39,10,2113,757,5,40,1,2,1,2816,10,2811,23
39,11,2128,58,1,22,1804,2,1,1125,44,3746,51
53,188,2934,59,1,22,1662,2,0,696,31,3212,24
15,220,810,148,1,31,1753,2,0,605,38,2167,19
3,427,291,1043,5,28,1203,1,0,154,44,1990,63
38,265,1890,72,1,26,1864,2,0,32,18,1587,14
32,126,1429,532,1,37,1020,2,1,1195,36,3716,40
5,559,453,783,1,36,1664,1,0,1406,45,220,16
20,506,1151,254,5,30,1392,2,1,2899,45,878,3
41,315,2485,77,1,30,2056,2,0,732,29,4018,47
18,293,1100,838,5,40,9,2,1,2151,44,3542,38
3,56,102,156,1,25,1887,2,0,578,7,141,11
39,14,2155,244,1,36,1614,2,1,2756,44,2377,9
33,160,1610,972,1,33,1753,1,0,638,7,3356,53
36,332,1760,1056,5,29,1234,2,1,2333,29,3074,40
20,291,1111,114,1,25,1799,2,0,1885,29,931,32
54,272,3070,234,5,31,1005,2,0,1876,7,3240,25
16,362,861,26,1,21,1956,2,0,753,31,597,34
5,472,363,490,1,27,1875,2,0,764,29,36,40
5,472,364,475,1,32,1567,1,1,2473,44,2367,20
8,114,643,59,1,28,1820,2,0,271,30,162,26
45,81,2669,20,5,19,1796,2,0,266,29,1089,48
39,10,2103,485,5,38,590,2,1,2473,38,4440,54
16,480,1048,162,5,6,1089,2,0,334,23,1558,16
39,0,2096,14,1,17,1852,2,0,595,35,2589,29
54,392,3201,278,1,31,1855,1,0,400,31,3140,62
5,468,327,358,1,31,938,2,0,82,21,2242,36
55,563,3423,958,5,39,165,1,1,2473,38,3629,39
26,545,1306,95,1,31,1545,2,0,764,7,3076,29
3,57,115,139,1,27,1925,2,0,1926,21,576,14
54,131,3053,402,1,36,1690,2,1,854,38,1128,19
39,588,2343,917,2,40,1,1,1,2674,37,2485,14
25,182,1233,839,5,40,1,2,1,1025,45,4322,53
5,561,466,853,1,34,1732,1,1,1128,29,3653,40
35,342,1743,532,5,37,437,2,1,2254,32,3367,33
5,472,361,415,1,34,1781,2,0,1804,9,1787,4
13,209,751,487,5,36,882,1,1,2505,29,3982,41
38,191,1969,178,1,35,1517,2,1,2822,7,3272,34
45,299,2637,59,5,25,1445,2,0,546,41,1424,6
5,476,433,261,1,28,2031,1,0,469,0,4315,44
45,84,2670,620,5,39,584,2,1,911,29,2768,20
41,530,2615,65,5,28,1569,2,0,191,6,206,36
54,366,3183,690,1,30,1665,2,1,1979,44,3852,58
15,515,851,388,1,37,511,2,1,2024,29,1851,19
8,109,593,88,1,28,1880,2,1,2407,46,2398,25
16,247,915,584,5,39,460,2,1,2102,2,1891,6
39,28,2224,487,5,40,0,2,1,1574,29,3850,41
20,506,1139,695,5,38,690,2,1,2473,31,3485,30
16,243,901,73,1,28,1589,2,0,1804,44,4756,59
5,559,450,165,1,25,55,2,0,516,37,515,27
55,564,3432,699,1,36,1533,1,1,2428,29,2358,58
41,523,2613,421,1,35,1545,2,1,2009,36,1686,4
53,188,2983,243,5,26,1702,2,0,320,29,1394,62
45,299,2703,391,5,39,541,2,1,2670,30,2428,12
30,123,1385,727,6,39,162,1,1,2677,29,3303,27
41,318,2503,530,2,38,10,1,1,2111,38,4936,62
54,272,3098,457,5,30,1753,2,0,760,36,1080,7
54,392,3204,585,1,37,1402,2,1,1382,43,3599,44
6,489,506,148,5,31,915,2,0,586,24,725,25
5,559,454,754,1,33,1753,1,1,1978,38,1733,23
55,453,3390,97,5,22,1820,2,1,2771,29,1325,2
5,468,326,310,1,33,1852,2,1,1979,44,4686,53
32,351,1440,69,1,25,1545,2,0,206,16,713,31
5,474,409,264,1,30,1949,2,0,1445,10,2574,25
29,436,1380,671,1,29,1249,1,1,974,7,2239,9
54,272,3115,442,5,38,1227,2,1,819,29,4675,54
16,247,953,126,1,28,1717,2,0,469,29,281,35
26,139,1256,487,1,37,715,2,1,1978,38,2116,11
54,464,3281,378,1,33,1713,2,1,2278,34,2551,27
33,152,1544,921,1,36,1398,2,1,1054,8,1428,1
33,152,1511,391,1,31,1818,2,0,586,32,2245,52
53,499,3016,1091,5,40,1,1,1,2790,44,1177,13
41,234,2443,583,1,35,1304,1,1,812,31,4033,39
54,341,3179,22,5,19,1865,2,0,103,24,662,5
46,381,2841,673,4,40,298,1,1,2426,29,1382,9
16,247,912,100,1,27,1675,2,0,194,44,478,25
46,381,2844,729,1,37,1124,1,0,1297,29,733,2
39,13,2141,168,5,30,1509,2,1,1522,29,2758,39
13,212,757,1071,7,40,209,1,1,1146,31,3330,46
33,549,1710,810,1,39,707,2,1,992,44,2389,63
39,42,2292,427,1,37,1203,2,0,469,29,635,27
